employeeId,firstName,lastName,email,title,jobLevel,experienceYears,employmentType,salaryAnnual,status,locationId,hireDate,createdAt
E10001,Neha,Sharma,neha.sharma1@example.com,Architect,L5,6,Full-Time,1399782,Active,L5002,20-04-2021,2025-11-17T12:24:12.254935
E10002,Sonia,Rao,sonia.rao2@example.com,Architect,L4,16,Contract,2935600,Active,L5001,13-06-2018,2025-11-17T12:24:12.254959
E10003,Aditi,Iyer,aditi.iyer3@example.com,Engineer,L5,20,Contract,1992621,Active,L5004,28-04-2018,2025-11-17T12:24:12.254979
E10004,Sonia,Khan,sonia.khan4@example.com,Senior Engineer,L6,4,Contract,1546567,Active,L5002,14-08-2022,2025-11-17T12:24:12.254996
E10005,Rahul,Gupta,rahul.gupta5@example.com,Architect,L3,19,Contract,1382424,Active,L5005,17-07-2019,2025-11-17T12:24:12.255014
E10006,Pooja,Joshi,pooja.joshi6@example.com,Senior Engineer,L5,18,Full-Time,1512369,Active,L5003,06-07-2020,2025-11-17T12:24:12.255031
E10007,Nisha,Mehta,nisha.mehta7@example.com,Architect,L5,18,Contract,822301,Active,L5003,01-04-2025,2025-11-17T12:24:12.255049
E10008,Saurav,Mehta,saurav.mehta8@example.com,Architect,L6,2,Contract,1594188,Active,L5004,25-09-2017,2025-11-17T12:24:12.255071
E10009,Divya,Sharma,divya.sharma9@example.com,Senior Engineer,L5,2,Contract,1017574,Active,L5006,08-08-2019,2025-11-17T12:24:12.255090
E10010,Kapil,Verma,kapil.verma10@example.com,Engineer,L6,9,Full-Time,740666,Active,L5001,23-07-2020,2025-11-17T12:24:12.255118
E10011,Kapil,Chopra,kapil.chopra11@example.com,Senior Engineer,L6,4,Contract,2043802,Active,L5002,06-11-2018,2025-11-17T12:24:12.255148
E10012,Divya,Iyer,divya.iyer12@example.com,Architect,L3,2,Full-Time,1407482,Active,L5002,22-10-2017,2025-11-17T12:24:12.255166
E10013,Aman,Mehta,aman.mehta13@example.com,Senior Engineer,L3,20,Contract,1986620,Active,L5001,31-08-2024,2025-11-17T12:24:12.255182
E10014,Karan,Patel,karan.patel14@example.com,Engineer,L5,19,Contract,2882471,Active,L5006,02-08-2020,2025-11-17T12:24:12.255209
E10015,Rohit,Rao,rohit.rao15@example.com,Senior Engineer,L4,10,Full-Time,2513014,Active,L5004,11-11-2021,2025-11-17T12:24:12.255227
E10016,Aditi,Chopra,aditi.chopra16@example.com,Architect,L5,11,Full-Time,3277765,Active,L5005,26-11-2018,2025-11-17T12:24:12.255243
E10017,Kapil,Kumar,kapil.kumar17@example.com,Senior Engineer,L5,4,Contract,3249737,Active,L5004,07-01-2024,2025-11-17T12:24:12.255259
